searchstring	count	is_fixed	fixed	productcount	predicted_productcount
маска her	1	False	маска her	26	26
Lancome Advanced Genifique Hydrogel Melting Mask	1	False	Lancome Advanced Genifique Hydrogel Melting Mask	2	2
estee lauder ideal matte refinishing makeup	1	False	estee lauder ideal matte refinishing makeup	0	0
Black vanilla	10	False	Black vanilla	0	0
гель planeta organica	1	False	гель planeta organica	12	12
Dior 683	1	False	Dior 683	2	2
Rimmel stay matt	2	False	Rimmel stay matt	0	0
Фигурное мыло	1	False	Фигурное мыло	0	0
Weleda интим	1	False	Weleda интим	0	0
Kerasys shampoo	1	False	Kerasys shampoo	0	0
Stilettos on Lex Jul et Mad parisi	1	False	Stilettos on Lex Jul et Mad parisi	0	0
lumene valo	41	False	lumene valo	16	16
kinelics	1	False	kinelics	0	0
escentric molecules molecule 023	1	False	escentric molecules molecule 023	2	2
origins масло	6	False	origins масло	30	30
Fresh Line Набор для тела Виноград и нектарин	1	False	Fresh Line Набор для тела Виноград и нектарин	0	0
gorgeous	7	False	gorgeous	1	1
Sisley sour de lune	2	False	Sisley sour de lune	0	0
SORBETTO ROSSO	1	False	SORBETTO ROSSO	15	15
L'Oreal Paris Makeup Infallible Up to 24	1	False	L'Oreal Paris Makeup Infallible Up to 24	0	0
их nihilo fleur narcotique	1	False	их nihilo fleur narcotique	0	0
giorgio armani mania	3	False	giorgio armani mania	0	0
Fior	4	False	Fior	0	0
dior пуазон	4	False	dior пуазон	0	0
娇韵诗乳	1	False	娇韵诗乳	0	0
viktor&rolf spicebomb	50	False	viktor&rolf spicebomb	28	28
Туалетная вода Жадо	2	False	Туалетная вода Жадо	0	0
Christian Dior Fahrenheit	8	False	Christian Dior Fahrenheit	0	0
Парада с пудровым эффектом	1	False	Парада с пудровым эффектом	0	0
Sansiro,Sansiro	2	False	Sansiro,Sansiro	0	0
Dolce & Gabbana Dolce Rosa	2	False	Dolce & Gabbana Dolce Rosa	0	0
Raw	2	False	Raw	17	17
number 1	1	False	number 1	0	0
Gosh праймер тени	1	False	Gosh праймер тени	1	1
essence payot	3	False	essence payot	2	2
Крем витамин Е	2	False	Крем витамин Е	30	30
Erborian CC	1	False	Erborian CC	0	0
Мусульмане эгора 5/9 12	3	False	Мусульмане эгора 5/9 12	0	0
очищение с кислотами	1	False	очищение с кислотами	30	30
Adopt лакрица	1	False	Adopt лакрица	1	1
Listens	1	False	Listens	0	0
Lash power	7	False	Lash power	5	5
barrier	7	False	barrier	9	9
8 элемент	1	False	8 элемент	12	12
Cinema Yves Saint Laurent	1	False	Cinema Yves Saint Laurent	1	1
Mac factor	14	False	Mac factor	29	29
Для косметики	7	False	Для косметики	30	30
Guam Антицеллюлитный стик с экстрактом водоросли, 75 мл	1	False	Guam Антицеллюлитный стик с экстрактом водоросли, 75 мл	0	0
Tour	1	False	Tour	0	0
Задоре	3	False	Задоре	1	1
Коррек	3	False	Коррек	1	1
mon GUERLAIN EAU DE PARFUM FLORALE	1	False	mon GUERLAIN EAU DE PARFUM FLORALE	2	2
туалетная вода cristiano	2	False	туалетная вода cristiano	1	1
aqua di+ gio	1	False	aqua di+ gio	29	29
женская парфюмерия gucci	2	False	женская парфюмерия gucci	1	1
Dolce gabanna the only one	4	False	Dolce gabanna the only one	0	0
Acqua dL Parma colonias	1	False	Acqua dL Parma colonias	0	0
Контейнеры	5	False	Контейнеры	8	8
тональный крем с спф	2	False	тональный крем с спф	28	28
Bobbi Brown Waterproof Brow Shaper	2	False	Bobbi Brown Waterproof Brow Shaper	0	0
woonderwood	1	False	woonderwood	0	0
adobe	2	False	adobe	0	0
минеральная косметика	3	False	минеральная косметика	5	5
ARTDECO КОНСИЛЕР	2	False	ARTDECO КОНСИЛЕР	0	0
Megaglot	1	False	Megaglot	0	0
chanel bleu de chanel парфюмерная вода 50 мл	1	False	chanel bleu de chanel парфюмерная вода 50 мл	0	0
iceberg man	10	False	iceberg man	3	3
L'Oreal Paris Brow Artist Plumper	4	False	L'Oreal Paris Brow Artist Plumper	0	0
Jimmy joo	3	False	Jimmy joo	0	0
Эсте лаудер интуишен	2	False	Эсте лаудер интуишен	0	0
Solo platinum	7	False	Solo platinum	0	0
Бритва Gillette Fusion5 ProGlide Power	3	False	Бритва Gillette Fusion5 ProGlide Power	0	0
Атомайзер	131	False	Атомайзер	2	2
Ладком	2	False	Ладком	0	0
Isadora lip desire	1	False	Isadora lip desire	1	1
крем clinique	12	False	крем clinique	27	27
Creed Three	1	False	Creed Three	0	0
Giorgio Armani Armani Code Femme Satin Eau De Parfum	1	False	Giorgio Armani Armani Code Femme Satin Eau De Parfum	0	0
Тональные крема	15	False	Тональные крема	30	30
egoist parfum	1	False	egoist parfum	0	0
Gregorio armani	1	False	Gregorio armani	0	0
Вообще миллион	1	False	Вообще миллион	0	0
red moscow	1	False	red moscow	19	19
Фиксатор макияжа nyx	1	False	Фиксатор макияжа nyx	14	14
Lalique encre noir	2	False	Lalique encre noir	0	0
Духи savage	1	False	Духи savage	1	1
Мужские подарк	4	False	Мужские подарк	2	2
Biologique Recherche Lotion P50	1	False	Biologique Recherche Lotion P50	0	0
Burberry blacks	2	False	Burberry blacks	0	0
jahal	1	False	jahal	0	0
Помада винная	1	False	Помада винная	5	5
La Mer тоник	3	False	La Mer тоник	28	28
pupa 14	1	False	pupa 14	20	20
На опыта клиник	1	False	На опыта клиник	0	0
Dynamic	1	False	Dynamic	1	1
PAYOT СМЯГЧАЮЩИЙ КОЖУ ШАРИКОВЫЙ ДЕЗОДОРАНТ БЕЗ СПИРТА	1	False	PAYOT СМЯГЧАЮЩИЙ КОЖУ ШАРИКОВЫЙ ДЕЗОДОРАНТ БЕЗ СПИРТА	0	0
Росабароко	1	False	Росабароко	0	0
Питательный блеск	1	False	Питательный блеск	30	30
Bogaje	1	False	Bogaje	0	0
Dior intence	1	False	Dior intence	0	0
Keizo	1	False	Keizo	0	0
Fox I	1	False	Fox I	17	17
Крем-баттер	2	False	Крем-баттер	0	0
Солнцезащитный для проблемной кожи	1	False	Солнцезащитный для проблемной кожи	7	7
тушь для ресниц гурмандиз	5	False	тушь для ресниц гурмандиз	1	1
Зодак и вольтер	2	False	Зодак и вольтер	0	0
Термоса-тушь	1	False	Термоса-тушь	0	0
Bvlgari Man In Black Cologne Туалетная вода	1	False	Bvlgari Man In Black Cologne Туалетная вода	0	0
крем с SPF-защитой	1	False	крем с SPF-защитой	1	1
Новинки тушь	1	False	Новинки тушь	4	4
Календарь мастхевов	9	False	Календарь мастхевов	0	0
Mont blanche	4	False	Mont blanche	0	0
trio крем для рук	1	False	trio крем для рук	2	2
пенка увлажняющ	1	False	пенка увлажняющ	0	0
kenzo l’ eau par	2	False	kenzo l’ eau par	15	15
Легендарный кислород	1	False	Легендарный кислород	1	1
масло для ресниц	19	False	масло для ресниц	18	18
SMMLC09	1	False	SMMLC09	0	0
Крем для лица солнцезащитный	2	False	Крем для лица солнцезащитный	30	30
"L'Oreal Paris Тональный крем ""Alliance Perfect"	1	False	"L'Oreal Paris Тональный крем ""Alliance Perfect"	0	0
Люфты	1	False	Люфты	0	0
Матовая помада loreal	3	False	Матовая помада loreal	4	4
"консилер хайлайтер для лица "" true match"	1	False	"консилер хайлайтер для лица "" true match"	0	0
Тональный крем Estée Lauder	3	False	Тональный крем Estée Lauder	26	26
Christian Dior homme Parfum	2	False	Christian Dior homme Parfum	0	0
1870 opus	2	False	1870 opus	0	0
Opus 1870	4	False	Opus 1870	0	0
Nina Ricci L ‘Air Du Temps	1	False	Nina Ricci L ‘Air Du Temps	1	1
Make up forever matte velvet	1	False	Make up forever matte velvet	0	0
PUPA BIRD 2	2	False	PUPA BIRD 2	7	7
тональный clinic	1	False	тональный clinic	30	30
Guerlain пудра рассыпчатая	1	False	Guerlain пудра рассыпчатая	0	0
Stash super	1	False	Stash super	0	0
Парфюмерный лосьон для тела	1	False	Парфюмерный лосьон для тела	30	30
Ультрафиолетовый фонарь	1	False	Ультрафиолетовый фонарь	0	0
chanel beauty	3	False	chanel beauty	0	0
mac 210	1	False	mac 210	17	17
Metallic lip	1	False	Metallic lip	13	13
encre noire sport	1	False	encre noire sport	0	0
N°5 FRAGMENTS D'OR	1	False	N°5 FRAGMENTS D'OR	0	0
Estee lauder re-nutriv	1	False	Estee lauder re-nutriv	15	15
Mexx back	5	False	Mexx back	0	0
для+ сухой кожи лица	1	False	для+ сухой кожи лица	30	30
SeaNtree Horse Oil	1	False	SeaNtree Horse Oil	0	0
l’ oréal washout	2	False	l’ oréal washout	3	3
love yourself	4	False	love yourself	3	3
Mavala lagoon	2	False	Mavala lagoon	0	0
ysl320	2	False	ysl320	0	0
kouros yves saint laurent	1	False	kouros yves saint laurent	0	0
Айзе5берг	1	False	Айзе5берг	0	0
сменные блоки 3*20	1	False	сменные блоки 3*20	0	0
Пудры матирующие	2	False	Пудры матирующие	30	30
Teana Огненный топаз	1	False	Teana Огненный топаз	1	1
Kilian parfum	1	False	Kilian parfum	30	30
Мочевины	1	False	Мочевины	8	8
Dior le volume revolution mascara	1	False	Dior le volume revolution mascara	0	0
Hermès in jardin	1	False	Hermès in jardin	6	6
Chrome azzura	3	False	Chrome azzura	0	0
Орхидеи	1	False	Орхидеи	30	30
Dr. brandt	2	False	Dr. brandt	0	0
kiko milano	7	False	kiko milano	0	0
chanel карандаш для глаз	2	False	chanel карандаш для глаз	0	0
sergio tacchini ozone	1	False	sergio tacchini ozone	0	0
clinique anti-blemish	24	False	clinique anti-blemish	11	11
тени для бровей pupa	1	False	тени для бровей pupa	7	7
Shake short	2	False	Shake short	0	0
Polo sport	1	False	Polo sport	0	0
les garcons	1	False	les garcons	12	12
nyx strobe of genius illuminating palette	1	False	nyx strobe of genius illuminating palette	1	1
lucas papaw бальзам для губ	1	False	lucas papaw бальзам для губ	0	0
Carbonated Booble	1	False	Carbonated Booble	0	0
для удаления волос	2	False	для удаления волос	4	4
CAFE-CAFE cafe GREEN Eau de Toilette	1	False	CAFE-CAFE cafe GREEN Eau de Toilette	0	0
Питательный крем с шафраном	3	False	Питательный крем с шафраном	1	1
Мужская парфюмерная вода	7	False	Мужская парфюмерная вода	30	30
TRESemmé	1	False	TRESemmé	0	0
love by kilian	16	False	love by kilian	6	6
Sciseido	2	False	Sciseido	0	0
Травало	2	False	Травало	0	0
DSM	1	False	DSM	17	17
estée lauder корректор	7	False	estée lauder корректор	24	24
Vivienne sabo rouge	1	False	Vivienne sabo rouge	2	2
Наборы подарочные для женщин	2	False	Наборы подарочные для женщин	11	11
тени для век nyx	19	False	тени для век nyx	29	29
Urban decay хайлайтер	1	False	Urban decay хайлайтер	7	7
very irresistible	45	False	very irresistible	1	1
S miracle shail essence mask	2	False	S miracle shail essence mask	0	0
glarins	1	False	glarins	0	0
Intense Tiare EDP	1	False	Intense Tiare EDP	1	1
Средство для чистки кистей	2	False	Средство для чистки кистей	0	0
Air luminizer	1	False	Air luminizer	3	3
Тональный пигмент	3	False	Тональный пигмент	30	30
Montale intense coffee	1	False	Montale intense coffee	0	0
Moss Snowdrop	1	False	Moss Snowdrop	0	0
бал в африке	1	False	бал в африке	0	0
Средство для снятия макияжа с глаз	13	False	Средство для снятия макияжа с глаз	26	26
Terenzi morema	1	False	Terenzi morema	0	0
Gosh гель для бровей	1	False	Gosh гель для бровей	0	0
Тени для век nude huda beaty	2	False	Тени для век nude huda beaty	0	0
Фантабулюс	1	False	Фантабулюс	0	0
туалетная вода женщин	3	False	туалетная вода женщин	30	30
маска с углем	1	False	маска с углем	22	22
Powder Flowers+ Montale	1	False	Powder Flowers+ Montale	0	0
база под макияж max factor	1	False	база под макияж max factor	1	1
Dr hauschka зубная паста	1	False	Dr hauschka зубная паста	0	0
брокколи	1	False	брокколи	4	4
vanilla spicy	1	False	vanilla spicy	0	0
Клиник дезодорант	2	False	Клиник дезодорант	2	2
COMME DES GARCONS SERIES 3 INCENSE: JAISALMER	1	False	COMME DES GARCONS SERIES 3 INCENSE: JAISALMER	5	5
shideido тональное средство	1	False	shideido тональное средство	0	0
Жидкая пудра	2	False	Жидкая пудра	26	26
Mizon all one snall	1	False	Mizon all one snall	0	0
Girls now	1	False	Girls now	1	1
Lancôme tonique comfort	2	False	Lancôme tonique comfort	0	0
utipia	1	False	utipia	0	0
Маска Мольтобенэ	1	False	Маска Мольтобенэ	0	0
Colour Elixir Cushion	1	False	Colour Elixir Cushion	1	1
Givenchy mister mat	1	False	Givenchy mister mat	4	4
cathy doll nude me	1	False	cathy doll nude me	0	0
Тушь pupa	53	False	Тушь pupa	19	19
Умная эмаль	4	False	Умная эмаль	0	0
Тени однокопмактые	2	False	Тени однокопмактые	0	0
dark two	1	False	dark two	24	24
black black afgano	1	False	black black afgano	0	0
Блеск для губ lumene	2	False	Блеск для губ lumene	5	5
chanel парфюм для мужчин	1	False	chanel парфюм для мужчин	0	0
Kohl	8	False	Kohl	13	13
 NYX Lid Lingerie LIDLI 02	1	False	nyx lid lingerie lidli 02	0	0
Sensai kanebo fluid finish	1	False	Sensai kanebo fluid finish	0	0
Dolce milk увлажняющая сыворотка	1	False	Dolce milk увлажняющая сыворотка	0	0
gosh eyebrow pencil	3	False	gosh eyebrow pencil	2	2
Dior DiorSkin Poudre Shimmer	1	False	Dior DiorSkin Poudre Shimmer	0	0
l'oreal les chocolats ultrapro matte liquid lipstick	3	False	l'oreal les chocolats ultrapro matte liquid lipstick	1	1
dosed	1	False	dosed	0	0
Erboria	1	False	Erboria	0	0
fruity	2	False	fruity	6	6
King of seduction absolute	1	False	King of seduction absolute	2	2
ysl nu incongru	4	False	ysl nu incongru	30	30
Azara	1	False	Azara	0	0
А адвент календарь Адвент календарь	4	False	А адвент календарь Адвент календарь	0	0
tudor	1	False	tudor	0	0
туалетная вода виски	5	False	туалетная вода виски	3	3
polo ralph lauren	2	False	polo ralph lauren	0	0
Thank you farmer	60	False	Thank you farmer	0	0
ck in2u	1	False	ck in2u	0	0
Unicorn	23	False	Unicorn	0	0
Пополняемый сертификат	2	False	Пополняемый сертификат	0	0
Валери до	1	False	Валери до	0	0
New Yorker	2	False	New Yorker	0	0
Adopt caramel	21	False	Adopt caramel	0	0
Grand Neroli	2	False	Grand Neroli	0	0
Mexx spring is nou	1	False	Mexx spring is nou	0	0
becca under eye brightening corrector	2	False	becca under eye brightening corrector	0	0
Никс хайлайтер	2	False	Никс хайлайтер	18	18
Gucci gilty	1	False	Gucci gilty	0	0
Bioderm se	1	False	Bioderm se	0	0
Illusion D	1	False	Illusion D	7	7
Pure melt clarins	1	False	Pure melt clarins	0	0
Givenchy pret a porter	3	False	Givenchy pret a porter	0	0
L’Oréal unlimited	1	False	l’ oréal unlimited	6	0
Kiehl´S	1	False	Kiehl´S	0	0
пена fresh	1	False	пена fresh	3	3
Пятигорск	3	False	Пятигорск	0	0
l'oreal active	1	False	l'oreal active	3	3
mac prep	3	False	mac prep	27	27
karl antony	2	False	karl antony	0	0
alerana	1	False	alerana	0	0
тоник сужающий	1	False	тоник сужающий	13	13
Расческа teezer	1	False	Расческа teezer	0	0
кисти для макичжс	1	False	кисти для макичжс	0	0
Пудра для скидк	1	False	Пудра для скидк	0	0
evidens	3	False	evidens	0	0
кремя для лица seberica	1	False	кремя для лица seberica	0	0
Компактная пудра lancome	1	False	Компактная пудра lancome	0	0
Маски dr.jard	1	False	Маски dr.jard	0	0
Sigma kabuki brush	1	False	Sigma kabuki brush	0	0
mess no more	1	False	mess no more	0	0
starwalker	2	False	starwalker	0	0
Для женщин dkny	1	False	Для женщин dkny	0	0
Venetian blue	1	False	Venetian blue	1	1
